SOURCE_ID,densidad_e,Porc_Plaza,Temperatur,Renta,Tasa_Centr,Esperanza_,Tasa_Fecun,saldo_neto,pob_extr,porc_extr,Shape_Leng,Shape_Area,INTRCPT,SE_INTRCPT,C_PORC_PLA,SE_PORC_PL,C_TEMPERAT,SE_TEMPERA,C_RENTA,SE_RENTA,C_TASA_CEN,SE_TASA_CE,C_ESPERANZ,SE_ESPERAN,C_TASA_FEC,SE_TASA_FE,C_SALDO_NE,SE_SALDO_N,C_POB_EXTR,SE_POB_EXT,C_PORC_EXT,SE_PORC_EX,PREDICTED,RESIDUAL,STDRESID,INFLUENCE,COOKS_D,CND_NUMBER,LOCALR2,NUM_NEIGHS,name
0,39.7081,2.5214,17.3,28312,7.26455,21.19,7.78,-2106,220035,18.0442,6.92734563513,0.526923377101,754.947452105,523.69873433,-10.4202991214,9.33809848394,10.1624205205,9.50952005938,0.0123945079889,0.00351385011226,0.854521715984,0.536903746016,-59.6096247541,20.2537846651,6.7270112267,15.4531907069,-0.00231483511924,0.00490325250526,-0.0000365801044453,0.000119567838804,1.29222099033,3.15306142204,70.9560065181,-31.2479071528,-1.37635912955,0.729064093738,0.250608654959,323110206.579,0.839003896465,44,Illes Balears
1,25.2798,5.43931,12.1,26084,8.61725,20.34,4.7,1325,45321,4.47386,6.89198471046,1.15485542429,-285.083221326,513.971732405,-2.53125530763,8.03702557237,9.69631381425,10.8148620791,0.00578923150859,0.00397271890992,0.172325451066,0.499131719995,6.30754496708,20.2806351878,-13.0781418992,19.5070318453,-0.00225666707953,0.00638556755547,0.0000357876614084,0.000163780918571,-0.0972674455019,4.12995012975,35.9900722409,-10.7102718258,-0.353153566263,0.51653835718,0.00655090242031,160417267.099,0.762939610596,44,Asturias
2,35.5435,2.46315,13.4,24613,6.33391,21.53,5.75,1754,43052,3.83775,7.21448312354,0.885873875126,-319.519837855,521.822009986,-1.9649023168,7.65223173791,8.52618695448,11.2108258897,0.00552778187521,0.00418918956953,0.137975579928,0.507035211534,8.38184642171,20.5047873275,-11.8241704216,20.4149729617,-0.00125966376756,0.00650475630491,0.0000600010722914,0.000166629226391,0.113219741515,4.53783947044,40.1008393556,-4.55734036272,-0.128689439051,0.340787637309,0.000420898800597,164601761.186,0.695076639629,44,A Coruña
3,24.4684,3.73907,14.2,27005,18.2563,20.75,8.23,3790,160435,20.7328,5.50436249119,0.65317388145,-49.8954046783,503.612261104,-3.13784061182,8.93471821264,2.17150028382,8.95952104876,0.00349902990873,0.00390828557339,0.0557124956538,0.541049106487,2.08999720525,22.0301348145,-10.2852422622,14.2757444607,-0.0006255217057,0.00498803128652,0.000109844513502,0.000123134015015,-0.880909872462,3.23728241752,20.4240525202,4.04434652763,0.117374829138,0.375927561826,0.000407992797085,328570815.169,0.706506506302,44,Girona
4,45.0994,1.62891,19.7,24506,6.98027,20.53,6.11,-946,146721,12.7365,5.29247750729,0.369080153235,-858.774207592,544.601637023,11.8336770231,7.21696043368,-6.01211279667,7.62584587889,0.0385615172638,0.00390430724656,-1.89203386476,0.597231095578,-6.85202400567,20.1867256192,33.4674677587,12.6224731684,-0.0142358602242,0.00482744707387,-0.000926381232813,0.000124773492557,13.7061876424,2.93998964929,89.7753687599,-44.6759691932,-1.91448158982,0.713757704462,0.449316923174,414832919.588,0.944382891057,44,Las Palmas
5,48.6812,2.26531,13.6,23240,5.43821,21.72,5.99,1205,37800,4.00683,5.13428338922,0.486900759075,-312.941600451,520.115139498,-1.88453031188,7.48645916697,7.82376433447,11.305820662,0.00533097893308,0.00425196142759,0.124657501569,0.50457208579,8.38888578725,20.3402989912,-10.7870832303,20.5382047691,-0.000849875699631,0.0064129434687,0.0000698320017657,0.0001654433314,0.14164390196,4.65671206903,33.5374760798,15.1437220403,0.426480646059,0.337242221145,0.004550081193,167824950.236,0.669184901662,44,Pontevedra
6,58.6173,2.18079,17,22901,7.72006,21.33,5.62,511,145821,13.348,4.64409334644,0.313244859059,-921.808358182,548.930544045,11.3691477521,7.1916887938,-7.49876285089,7.59245226792,0.0377829350764,0.00394561481181,-1.85250305015,0.598721224945,-2.39329894866,20.4463960996,35.9943299121,12.8354882015,-0.0149052730416,0.00493877112787,-0.000946544830961,0.000126915372841,14.0002978134,2.98517130656,18.9442827138,39.6730154124,1.34213457014,0.540710490918,0.104256653487,474558832.461,0.939809321524,44,Santa Cruz De Tenerife
7,24.8743,4.73949,12,25691,12.693,21.03,5.85,2622,35896,6.14759,5.71265088198,0.588500428593,-258.117066762,491.973490691,-2.67401980289,7.7879139857,10.1917334333,10.2173804246,0.00573283719464,0.00372592082878,0.178732153479,0.474746330056,5.04828371001,19.2993352438,-13.6825098792,18.0950341166,-0.00307727671506,0.00586827410178,0.0000205559823793,0.000150641686785,-0.132026932771,3.68431015507,19.0415507218,5.83274928126,0.156324506126,0.268219695665,0.000440349455824,174792490.144,0.779486840411,44,Cantabria
8,41.8316,2.45794,17.2,23248,6.74035,20.25,7.42,2881,270206,15.9296,5.14025808093,0.735777455351,-638.360343891,547.407846481,5.74216855381,7.05366183922,37.6925197775,10.8032937567,0.0379404906676,0.00411287781289,0.170048309896,0.507822396477,-37.6521044341,19.4178952969,-14.3286778474,17.2030914214,-0.0175938315381,0.00484734567889,-0.000821340204266,0.000133965890306,15.7011967216,3.4083104492,15.9726376766,25.8589625126,0.772054079081,0.410321927348,0.0203910023842,196949083.72,0.948711698606,44,Málaga
9,12.8954,3.21589,16.7,20144,20.0606,20.19,9.59,-306,154595,21.4525,4.99073674919,0.89307391397,214.500955819,484.423681235,-0.711982869016,7.12727499482,39.12687303,10.0098196783,0.0295668765576,0.00344815605959,1.20078253616,0.501006196312,-77.4951349131,17.2586557557,1.16093446491,15.8934860852,-0.00982253328876,0.00447936826299,-0.000448873009514,0.000114207857775,10.1505127103,2.99551865374,83.186273008,-70.2908729607,-2.63093564041,0.624797559319,0.566666452374,176365989.616,0.944777981247,44,Almería
